date,direction,speed
2009-03-03,202,26.0
2009-03-04,247,11.0
2009-03-05,220,10.0
2009-03-06,278,12.0
2009-03-07,236,15.0
2009-03-08,245,27.0
2009-03-09,256,24.0
2009-03-10,275,18.0
2009-03-11,254,9.0
2009-03-12,249,17.0
2009-03-13,217,10.0
2009-03-14,252,17.0
2009-03-15,270,9.0
2009-03-16,219,8.0
2009-03-17,127,11.0
2009-03-18,92,7.0
2009-03-19,62,11.0
2009-03-20,89,9.0
2009-03-21,262,9.0
2009-03-22,317,13.0
2009-03-23,279,24.0
2009-03-24,298,21.0
2009-03-25,281,25.0
2009-03-26,254,21.0
2009-03-27,243,21.0
2009-03-28,301,18.0
2009-03-29,267,8.0
2009-03-30,231,9.0
2009-03-31,169,4.0
2009-04-01,61,12.0
2009-04-02,32,13.0
2009-04-03,176,7.0
2009-04-04,245,12.0
2009-04-05,127,8.0
2009-04-06,146,13.0
2009-04-07,209,16.0
2009-04-08,222,20.0
2009-04-09,164,15.0
2009-04-10,174,12.0
2009-04-11,233,5.0
2009-04-12,109,6.0
2009-04-13,168,5.0
2009-04-14,122,10.0
2009-04-15,63,17.0
2009-04-16,105,7.0
2009-04-17,246,10.0
2009-04-18,27,15.0
2009-04-19,68,14.0
2009-04-20,67,7.0
2009-04-21,225,6.0
2009-04-22,209,7.0
2009-04-23,180,10.0
2009-04-24,128,16.0
2009-04-25,165,16.0
2009-04-26,168,10.0
2009-04-27,190,10.0
2009-04-28,166,4.0
2009-04-29,197,8.0
2009-04-30,163,12.0
2009-05-01,183,11.0
2009-05-02,267,8.0
2009-05-03,295,15.0
2009-05-04,266,12.0
2009-05-05,255,18.0
2009-05-06,250,19.0
2009-05-07,219,19.0
2009-05-08,232,22.0
2009-05-09,231,10.0
2009-05-10,126,9.0
2009-05-11,45,24.0
2009-05-12,43,24.0
2009-05-13,80,13.0
2009-05-14,52,5.0
2009-05-15,187,15.0
2009-05-16,197,20.0
2009-05-17,178,18.0
2009-05-18,203,22.0
2009-05-19,194,17.0
2009-05-20,202,13.0
2009-05-21,251,12.0
2009-05-22,252,12.0
2009-05-23,157,8.0
2009-05-24,139,7.0
2009-05-25,102,8.0
2009-05-26,284,17.0
2009-05-27,233,18.0
2009-05-28,273,8.0
2009-05-29,113,11.0
2009-05-30,69,14.0
2009-05-31,33,13.0
2009-06-01,32,13.0
2009-06-02,33,10.0
2009-06-03,69,9.0
2009-06-04,238,6.0
2009-06-05,127,6.0
2009-06-06,88,15.0
2009-06-07,188,9.0
2009-06-08,184,8.0
2009-06-09,180,11.0
2009-06-10,169,7.0
2009-06-11,280,13.0
2009-06-12,218,6.0
2009-06-13,198,10.0
2009-06-14,278,5.0
2009-06-15,226,5.0
2009-06-16,168,7.0
2009-06-17,198,17.0
2009-06-18,261,13.0
2009-06-19,282,16.0
2009-06-20,292,11.0
2009-06-21,283,8.0
2009-06-22,127,4.0
2009-06-23,100,9.0
2009-06-24,61,14.0
2009-06-25,53,14.0
2009-06-26,166,7.0
2009-06-27,248,4.0
2009-06-28,140,4.0
2009-06-29,130,7.0
2009-06-30,95,8.0
2009-07-01,87,8.0
2009-07-02,87,9.0
2009-07-03,219,10.0
2009-07-04,212,11.0
2009-07-05,212,12.0
2009-07-06,214,19.0
2009-07-07,261,14.0
2009-07-08,290,11.0
2009-07-09,291,13.0
2009-07-10,279,14.0
2009-07-11,214,11.0
2009-07-12,228,16.0
2009-07-13,207,14.0
2009-07-14,187,14.0
2009-07-15,209,19.0
2009-07-16,191,10.0
2009-07-17,204,13.0
2009-07-18,252,20.0
2009-07-19,235,19.0
2009-07-20,231,14.0
2009-07-21,166,13.0
2009-07-22,209,18.0
2009-07-23,232,13.0
2009-07-24,228,15.0
2009-07-25,245,11.0
2009-07-26,195,14.0
2009-07-27,240,12.0
2009-07-28,205,14.0
2009-07-29,195,16.0
2009-07-30,258,17.0
2009-07-31,198,8.0
2009-08-01,184,10.0
2009-08-02,267,10.0
2009-08-03,204,12.0
2009-08-04,174,14.0
2009-08-05,170,8.0
2009-08-06,268,5.0
2009-08-07,288,7.0
2009-08-08,216,4.0
2009-08-09,157,6.0
2009-08-10,216,12.0
2009-08-11,286,10.0
2009-08-12,262,11.0
2009-08-13,288,5.0
2009-08-14,194,11.0
2009-08-15,218,15.0
2009-08-16,251,11.0
2009-08-17,270,11.0
2009-08-18,224,9.0
2009-08-19,192,12.0
2009-08-20,210,17.0
2009-08-21,238,13.0
2009-08-22,214,9.0
2009-08-23,166,13.0
2009-08-24,214,7.0
2009-08-25,221,12.0
2009-08-26,186,17.0
2009-08-27,222,14.0
2009-08-28,250,23.0
2009-08-29,263,15.0
2009-08-30,224,14.0
2009-08-31,181,15.0
2009-09-01,226,18.0
2009-09-02,199,18.0
2009-09-03,243,25.0
2009-09-04,267,20.0
2009-09-05,260,15.0
2009-09-06,221,13.0
2009-09-07,204,11.0
2009-09-08,202,15.0
2009-09-09,96,12.0
2009-09-10,65,14.0
2009-09-11,73,13.0
2009-09-12,34,11.0
2009-09-13,8,13.0
2009-09-14,52,16.0
2009-09-15,63,20.0
2009-09-16,23,21.0
2009-09-17,39,16.0
2009-09-18,56,11.0
2009-09-19,56,6.0
2009-09-20,119,8.0
2009-09-21,236,9.0
2009-09-22,242,15.0
2009-09-23,256,8.0
2009-09-24,314,8.0
2009-09-25,309,7.0
2009-09-26,251,3.0
2009-09-27,286,5.0
2009-09-28,304,8.0
2009-09-29,292,11.0
2009-09-30,296,8.0
2009-10-01,323,10.0
2009-10-02,280,11.0
2009-10-03,239,23.0
2009-10-04,256,12.0
2009-10-05,106,5.0
2009-10-06,196,17.0
2009-10-07,117,16.0
2009-10-08,108,10.0
2009-10-09,107,13.0
2009-10-10,266,9.0
2009-10-11,271,14.0
2009-10-12,330,13.0
2009-10-13,210,3.0
2009-10-14,107,5.0
2009-10-15,307,5.0
2009-10-16,251,14.0
2009-10-17,259,13.0
2009-10-18,250,6.0
2009-10-19,179,11.0
2009-10-20,127,18.0
2009-10-21,147,11.0
2009-10-22,151,14.0
2009-10-23,196,10.0
2009-10-24,195,19.0
2009-10-25,231,23.0
2009-10-26,247,14.0
2009-10-27,166,12.0
2009-10-28,225,8.0
2009-10-29,186,5.0
2009-10-30,133,13.0
2009-10-31,206,11.0
2009-11-01,205,20.0
2009-11-02,236,13.0
2009-11-03,213,16.0
2009-11-04,242,18.0
2009-11-05,261,19.0
2009-11-06,243,16.0
2009-11-07,226,14.0
2009-11-08,53,12.0
2009-11-09,289,10.0
2009-11-10,136,3.0
2009-11-11,112,7.0
2009-11-12,196,21.0
2009-11-13,177,18.0
2009-11-14,203,31.0
2009-11-15,205,14.0
2009-11-16,191,23.0
2009-11-17,227,19.0
2009-11-18,220,31.0
2009-11-19,201,29.0
2009-11-20,208,23.0
2009-11-21,168,21.0
2009-11-22,211,24.0
2009-11-23,244,30.0
2009-11-24,223,27.0
2009-11-25,221,29.0
2009-11-26,225,20.0
2009-11-27,235,18.0
2009-11-28,185,19.0
2009-11-29,171,20.0
2009-11-30,193,24.0
2009-12-01,229,13.0
2009-12-02,167,15.0
2009-12-03,246,17.0
2009-12-04,247,18.0
2009-12-05,203,20.0
2009-12-06,211,27.0
2009-12-07,197,22.0
2009-12-08,224,17.0
2009-12-09,205,13.0
2009-12-10,293,15.0
2009-12-11,16,10.0
2009-12-12,18,16.0
2009-12-13,16,16.0
2009-12-14,138,7.0
2009-12-15,118,7.0
2009-12-16,243,9.0
2009-12-17,218,25.0
2009-12-18,183,24.0
2009-12-19,298,17.0
2009-12-20,265,19.0
2009-12-21,168,13.0
2009-12-22,258,11.0
2009-12-23,186,10.0
2009-12-24,130,10.0
2009-12-25,270,15.0
2009-12-26,208,19.0
2009-12-27,240,22.0
2009-12-28,164,9.0
2009-12-29,76,21.0
2009-12-30,53,20.0
2009-12-31,26,22.0
2010-01-01,199,18.0
2010-01-02,268,14.0
2010-01-03,64,10.0
2010-01-04,269,10.0
2010-01-05,213,10.0
2010-01-06,62,18.0
2010-01-07,330,22.0
2010-01-08,141,16.0
2010-01-09,58,25.0
2010-01-10,28,19.0
2010-01-11,68,7.0
2010-01-12,108,16.0
2010-01-13,122,10.0
2010-01-14,168,8.0
2010-01-15,198,12.0
2010-01-16,168,22.0
2010-01-17,265,17.0
2010-01-18,252,10.0
2010-01-19,150,10.0
2010-01-20,82,13.0
2010-01-21,237,8.0
2010-01-22,161,20.0
2010-01-23,225,11.0
2010-01-24,301,10.0
2010-01-25,140,13.0
2010-01-26,71,13.0
2010-01-27,242,16.0
2010-01-28,296,15.0
2010-01-29,299,19.0
2010-01-30,307,17.0
2010-01-31,271,14.0
2010-02-01,279,18.0
2010-02-02,246,24.0
2010-02-03,252,11.0
2010-02-04,178,17.0
2010-02-05,184,15.0
2010-02-06,90,14.0
2010-02-07,178,10.0
2010-02-08,25,19.0
2010-02-09,57,20.0
2010-02-10,266,21.0
2010-02-11,99,23.0
2010-02-12,142,13.0
2010-02-13,54,16.0
2010-02-14,303,8.0
2010-02-15,230,8.0
2010-02-16,198,13.0
2010-02-17,139,8.0
2010-02-18,163,10.0
2010-02-19,280,16.0
2010-02-20,254,9.0
2010-02-21,197,11.0
2010-02-22,45,19.0
2010-02-23,71,17.0
2010-02-24,148,14.0
2010-02-25,198,14.0
2010-02-26,250,27.0
2010-02-27,184,16.0
2010-02-28,199,20.0
2010-03-01,275,8.0
2010-03-02,139,7.0
2010-03-03,79,18.0
2010-03-04,40,17.0
2010-03-05,299,11.0
2010-03-06,154,15.0
2010-03-07,55,14.0
2010-03-08,33,17.0
2010-03-09,23,15.0
2010-03-10,30,17.0
2010-03-11,59,13.0
2010-03-12,226,14.0
2010-03-13,275,10.0
2010-03-14,304,16.0
2010-03-15,293,14.0
2010-03-16,242,10.0
2010-03-17,204,14.0
2010-03-18,188,17.0
2010-03-19,202,18.0
2010-03-20,212,22.0
2010-03-21,274,12.0
2010-03-22,203,17.0
2010-03-23,188,10.0
2010-03-24,155,11.0
2010-03-25,170,15.0
2010-03-26,194,20.0
2010-03-27,241,11.0
2010-03-28,228,13.0
2010-03-29,166,12.0
2010-03-30,196,19.0
2010-03-31,236,26.0
2010-04-01,242,21.0
2010-04-02,175,18.0
2010-04-03,158,13.0
2010-04-04,264,17.0
2010-04-05,208,18.0
2010-04-06,163,18.0
2010-04-07,261,9.0
2010-04-08,314,8.0
2010-04-09,178,4.0
2010-04-10,65,9.0
2010-04-11,35,14.0
2010-04-12,28,17.0
2010-04-13,19,19.0
2010-04-14,35,12.0
2010-04-15,22,14.0
2010-04-16,92,13.0
