date,direction,speed
2009-03-03,219,9.0
2009-03-04,219,8.0
2009-03-05,206,8.0
2009-03-06,237,8.0
2009-03-07,250,8.0
2009-03-08,278,9.0
2009-03-09,291,7.0
2009-03-10,209,9.0
2009-03-11,185,9.0
2009-03-12,280,7.0
2009-03-13,218,9.0
2009-03-14,200,11.0
2009-03-15,207,10.0
2009-03-16,249,8.0
2009-03-17,183,9.0
2009-03-18,296,9.0
2009-03-19,224,9.0
2009-03-20,244,10.0
2009-03-21,223,11.0
2009-03-22,225,7.0
2009-03-23,234,9.0
2009-03-24,216,10.0
2009-03-25,252,7.0
2009-03-26,289,10.0
2009-03-27,232,11.0
2009-03-28,237,8.0
2009-03-29,247,8.0
2009-03-30,177,9.0
2009-03-31,220,9.0
2009-04-01,281,7.0
2009-04-02,258,10.0
2009-04-03,214,9.0
2009-04-04,203,8.0
2009-04-05,234,13.0
2009-04-06,140,11.0
2009-04-07,217,10.0
2009-04-08,243,12.0
2009-04-09,216,8.0
2009-04-10,177,9.0
2009-04-11,180,9.0
2009-04-12,285,8.0
2009-04-13,317,10.0
2009-04-14,289,9.0
2009-04-15,281,9.0
2009-04-16,290,9.0
2009-04-17,276,9.0
2009-04-18,245,8.0
2009-04-19,208,10.0
2009-04-20,214,16.0
2009-04-21,214,19.0
2009-04-22,222,15.0
2009-04-23,251,10.0
2009-04-24,299,10.0
2009-04-25,303,9.0
2009-04-26,286,9.0
2009-04-27,245,7.0
2009-04-28,270,9.0
2009-04-29,217,10.0
2009-04-30,213,14.0
2009-05-01,221,15.0
2009-05-02,219,13.0
2009-05-03,215,12.0
2009-05-04,216,14.0
2009-05-05,218,16.0
2009-05-06,237,11.0
2009-05-07,256,8.0
2009-05-08,233,12.0
2009-05-09,247,11.0
2009-05-10,240,14.0
2009-05-11,233,17.0
2009-05-12,221,17.0
2009-05-13,222,17.0
2009-05-14,217,22.0
2009-05-15,216,23.0
2009-05-16,217,21.0
2009-05-17,221,18.0
2009-05-18,220,17.0
2009-05-19,217,14.0
2009-05-20,212,15.0
2009-05-21,221,14.0
2009-05-22,214,18.0
2009-05-23,216,18.0
2009-05-24,219,19.0
2009-05-25,219,20.0
2009-05-26,221,20.0
2009-05-27,219,17.0
2009-05-28,219,19.0
2009-05-29,219,19.0
2009-05-30,220,20.0
2009-05-31,220,19.0
2009-06-01,223,19.0
2009-06-02,225,19.0
2009-06-03,229,20.0
2009-06-04,231,20.0
2009-06-05,229,19.0
2009-06-06,233,18.0
2009-06-07,228,19.0
2009-06-08,227,20.0
2009-06-09,225,19.0
2009-06-10,222,17.0
2009-06-11,221,20.0
2009-06-12,227,20.0
2009-06-13,223,20.0
2009-06-14,223,19.0
2009-06-15,224,21.0
2009-06-16,224,19.0
2009-06-17,225,17.0
2009-06-18,224,16.0
2009-06-19,221,15.0
2009-06-20,220,17.0
2009-06-21,212,14.0
2009-06-22,217,16.0
2009-06-23,201,14.0
2009-06-24,198,20.0
2009-06-25,207,19.0
2009-06-26,212,20.0
2009-06-27,208,16.0
2009-06-28,206,16.0
2009-06-29,207,15.0
2009-06-30,212,20.0
2009-07-01,206,18.0
2009-07-02,203,16.0
2009-07-03,219,12.0
2009-07-04,230,10.0
2009-07-05,232,13.0
2009-07-06,202,14.0
2009-07-07,223,16.0
2009-07-08,233,18.0
2009-07-09,229,18.0
2009-07-10,214,18.0
2009-07-11,209,18.0
2009-07-12,216,18.0
2009-07-13,227,19.0
2009-07-14,227,12.0
2009-07-15,234,13.0
2009-07-16,222,16.0
2009-07-17,220,18.0
2009-07-18,219,20.0
2009-07-19,224,19.0
2009-07-20,231,18.0
2009-07-21,228,16.0
2009-07-22,237,14.0
2009-07-23,229,22.0
2009-07-24,224,25.0
2009-07-25,227,19.0
2009-07-26,234,17.0
2009-07-27,225,18.0
2009-07-28,233,21.0
2009-07-29,220,19.0
2009-07-30,224,17.0
2009-07-31,229,17.0
2009-08-01,223,18.0
2009-08-02,221,17.0
2009-08-03,231,16.0
2009-08-04,232,21.0
2009-08-05,229,22.0
2009-08-06,232,21.0
2009-08-07,236,18.0
2009-08-08,232,15.0
2009-08-09,226,14.0
2009-08-10,217,12.0
2009-08-11,197,15.0
2009-08-12,209,14.0
2009-08-13,220,16.0
2009-08-14,231,17.0
2009-08-15,226,18.0
2009-08-16,224,16.0
2009-08-17,220,13.0
2009-08-18,225,10.0
2009-08-19,220,10.0
2009-08-20,215,13.0
2009-08-21,211,14.0
2009-08-22,219,12.0
2009-08-23,213,12.0
2009-08-24,229,9.0
2009-08-25,237,11.0
2009-08-26,236,13.0
2009-08-27,225,15.0
2009-08-28,208,12.0
2009-08-29,226,11.0
2009-08-30,207,13.0
2009-08-31,200,13.0
2009-09-01,205,12.0
2009-09-02,218,11.0
2009-09-03,233,10.0
2009-09-04,236,12.0
2009-09-05,222,10.0
2009-09-06,245,10.0
2009-09-07,221,9.0
2009-09-08,229,11.0
2009-09-09,225,15.0
2009-09-10,218,15.0
2009-09-11,214,12.0
2009-09-12,226,8.0
2009-09-13,264,7.0
2009-09-14,232,7.0
2009-09-15,236,7.0
2009-09-16,218,8.0
2009-09-17,241,6.0
2009-09-18,244,6.0
2009-09-19,254,8.0
2009-09-20,245,8.0
2009-09-21,271,6.0
2009-09-22,205,5.0
2009-09-23,222,9.0
2009-09-24,231,10.0
2009-09-25,234,10.0
2009-09-26,243,8.0
2009-09-27,260,8.0
2009-09-28,280,10.0
2009-09-29,270,9.0
2009-09-30,259,8.0
2009-10-01,187,8.0
2009-10-02,131,7.0
2009-10-03,195,9.0
2009-10-04,208,14.0
2009-10-05,213,9.0
2009-10-06,220,12.0
2009-10-07,221,15.0
2009-10-08,222,15.0
2009-10-09,208,13.0
2009-10-10,219,10.0
2009-10-11,247,4.0
2009-10-12,221,5.0
2009-10-13,240,5.0
2009-10-14,211,7.0
2009-10-15,229,5.0
2009-10-16,300,4.0
2009-10-17,266,6.0
2009-10-18,254,5.0
2009-10-19,230,4.0
2009-10-20,235,5.0
2009-10-21,175,4.0
2009-10-22,168,9.0
2009-10-23,123,9.0
2009-10-24,148,8.0
2009-10-25,155,7.0
2009-10-26,171,7.0
2009-10-27,144,6.0
2009-10-28,104,8.0
2009-10-29,110,10.0
2009-10-30,65,10.0
2009-10-31,140,9.0
2009-11-01,135,8.0
2009-11-02,147,9.0
2009-11-03,102,9.0
2009-11-04,62,9.0
2009-11-05,58,12.0
2009-11-06,127,11.0
2009-11-07,167,11.0
2009-11-08,131,9.0
2009-11-09,71,8.0
2009-11-10,96,14.0
2009-11-11,60,23.0
2009-11-12,101,9.0
2009-11-13,135,7.0
2009-11-14,199,6.0
2009-11-15,135,7.0
2009-11-16,145,4.0
2009-11-17,196,6.0
2009-11-18,154,6.0
2009-11-19,60,8.0
2009-11-20,64,9.0
2009-11-21,145,8.0
2009-11-22,142,9.0
2009-11-23,170,7.0
2009-11-24,181,6.0
2009-11-25,182,6.0
2009-11-26,98,9.0
2009-11-27,167,8.0
2009-11-28,163,7.0
2009-11-29,137,8.0
2009-11-30,142,8.0
2009-12-01,142,9.0
2009-12-02,140,9.0
2009-12-03,164,6.0
2009-12-04,139,5.0
2009-12-05,183,7.0
2009-12-06,192,7.0
2009-12-07,138,8.0
2009-12-08,262,7.0
2009-12-09,145,7.0
2009-12-10,144,7.0
2009-12-11,152,9.0
2009-12-12,155,7.0
2009-12-13,189,7.0
2009-12-14,195,6.0
2009-12-15,181,6.0
2009-12-16,93,8.0
2009-12-17,62,7.0
2009-12-18,122,10.0
2009-12-19,91,9.0
2009-12-20,121,9.0
2009-12-21,69,11.0
2009-12-22,148,10.0
2009-12-23,156,8.0
2009-12-24,166,9.0
2009-12-25,157,8.0
2009-12-26,155,8.0
2009-12-27,157,6.0
2009-12-28,196,9.0
2009-12-29,175,9.0
2009-12-30,171,8.0
2009-12-31,85,10.0
2010-01-01,95,9.0
2010-01-02,178,9.0
2010-01-03,262,9.0
2010-01-04,147,12.0
2010-01-05,34,13.0
2010-01-06,92,12.0
2010-01-07,94,10.0
2010-01-08,125,10.0
2010-01-09,124,12.0
2010-01-10,72,13.0
2010-01-11,97,10.0
2010-01-12,246,8.0
2010-01-13,223,12.0
2010-01-14,41,14.0
2010-01-15,93,12.0
2010-01-16,160,10.0
2010-01-17,133,8.0
2010-01-18,187,9.0
2010-01-19,155,8.0
2010-01-20,130,9.0
2010-01-21,131,10.0
2010-01-22,195,7.0
2010-01-23,171,6.0
2010-01-24,284,7.0
2010-01-25,113,11.0
2010-01-26,152,8.0
2010-01-27,145,6.0
2010-01-28,196,6.0
2010-01-29,214,9.0
2010-01-30,151,8.0
2010-01-31,210,6.0
2010-02-01,243,7.0
2010-02-02,259,6.0
2010-02-03,141,7.0
2010-02-04,225,8.0
2010-02-05,187,6.0
2010-02-06,198,6.0
2010-02-07,171,7.0
2010-02-08,256,10.0
2010-02-09,265,9.0
2010-02-10,303,9.0
2010-02-11,214,6.0
2010-02-12,309,8.0
2010-02-13,284,8.0
2010-02-14,240,8.0
2010-02-15,168,9.0
2010-02-16,179,10.0
2010-02-17,140,13.0
2010-02-18,127,9.0
2010-02-19,200,8.0
2010-02-20,157,5.0
2010-02-21,201,6.0
2010-02-22,228,8.0
2010-02-23,263,9.0
2010-02-24,264,10.0
2010-02-25,222,7.0
2010-02-26,200,7.0
2010-02-27,173,7.0
2010-02-28,217,6.0
2010-03-01,261,7.0
2010-03-02,274,9.0
2010-03-03,227,11.0
2010-03-04,243,9.0
2010-03-05,203,9.0
2010-03-06,237,10.0
2010-03-07,283,8.0
2010-03-08,268,8.0
2010-03-09,129,9.0
2010-03-10,121,9.0
2010-03-11,219,7.0
2010-03-12,255,6.0
2010-03-13,249,8.0
2010-03-14,245,10.0
2010-03-15,217,11.0
2010-03-16,228,8.0
2010-03-17,249,8.0
2010-03-18,192,6.0
2010-03-19,220,8.0
2010-03-20,230,8.0
